Registration Number,Name,Relation,Date Missing From,Last seen,mobile numbers,age,Languages Known,District,Police Station AreaArea,Case Registered,Mental Health Status,Person Image web Link
13336,Karan Verma,H/o. Amit Verma,26-10-2025,From home,9793729808,58,"Hindi, English",R.R.Dist,Banjara Hills,458/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773576919.jpg
13335,Karan Kumar,D/o. Vikram Sharma,25-02-2025,Railway Station,9486100308,59,"Hindi, English",Pune,Jubilee Hills,50/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773647395.jpg
13334,Vikram Iyer,S/o. Jithender Kumar,14-05-2025,School,9399862865,43,Hindi,Mumbai,Banjara Hills,20/2025,Mentally disable,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773576919.jpg
13333,Neha Singh,W/o. Karan Gupta,27-10-2025,Railway Station,9872770931,29,"Hindi, English",Pune,Saroor nagar limits,403/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773818238.jpg
13332,Suresh Reddy,D/o. Suresh Reddy,24-04-2025,Railway Station,9354687847,21,"Hindi, Telugu, English",Mumbai,Madhapur,430/2025,Mentally disable,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773906260.jpg
13331,Sneha Gupta,Sister of Neha Prajapathi,24-07-2025,Bus Stand,9336830015,81,"Telugu, English",R.R.Dist,Saroor nagar limits,87/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773576919.jpg
13330,Amit Iyer,Sister of Sneha Singh,16-10-2025,From home,9933591795,82,"Hindi, English",Hyderabad,Jubilee Hills,113/2025,Depressed,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773578091.jpg
13329,Suresh Anjaiah,S/o. Neha Iyer,09-12-2025,Bus Stand,9394733661,28,"Hindi, Telugu, English",Cyberabad,Jubilee Hills,378/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773647395.jpg
13328,Prabh Kumar,S/o. Kamini Iyer,02-03-2025,Railway Station,9883106972,62,"Hindi, English",Mumbai,Kukatpally,500/2025,Depressed,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773578091.jpg
13327,Jithender Yadav,H/o. Amit Rao,01-02-2025,Market,9495858453,18,English,Medchal,Banjara Hills,433/2025,Mentally disable,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773576919.jpg
13326,Anita Reddy,H/o. Amit Patel,01-12-2025,From home,9130633488,60,Hindi,Cyberabad,Kukatpally,262/2025,Mentally disable,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773647395.jpg
13325,Sunita Sharma,Sister of Karan Gupta,21-10-2025,Railway Station,9526545433,68,Telugu,R.R.Dist,Saroor nagar limits,475/2025,Alzimer,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773906260.jpg
13324,Priya Singh,D/o. Manimala Patel,25-01-2025,Market,9284980089,37,English,Medchal,Afzalgunj,308/2025,Depressed,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773906260.jpg
13323,Karan Kumar,W/o. Neha Verma,13-11-2025,School,9574044660,22,Hindi,Mumbai,Saroor nagar limits,215/2025,Depressed,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773578091.jpg
13322,Rohit Sharma,H/o. Karan Anjaiah,23-08-2025,Bus Stand,9451309679,37,"Hindi, English",Medchal,Madhapur,177/2025,Depressed,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773647395.jpg
13321,Suresh Anjaiah,H/o. Manimala Reddy,08-07-2025,Market,9603829301,81,"Telugu, English",Pune,Jubilee Hills,251/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773578091.jpg
13320,Karan Prajapathi,W/o. Amit Iyer,06-08-2025,School,9872486958,76,"Telugu, English",Pune,Banjara Hills,308/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773578091.jpg
13319,Karan Rao,Sister of Rahul Prajapathi,08-10-2025,From home,9339013603,77,Telugu,Medchal,Kukatpally,360/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773578091.jpg
13318,Anita Rao,H/o. Sunita Prajapathi,03-01-2026,From home,9430887973,63,"Hindi, English",Hyderabad,Saroor nagar limits,253/2026,Mentally disable,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773818238.jpg
13317,Amit Prajapathi,S/o. Sneha Sharma,09-04-2025,Railway Station,9698328809,60,English,Cyberabad,Madhapur,414/2025,Depressed,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773647395.jpg
13316,Rahul Yadav,D/o. Rahul Sharma,28-08-2025,From home,9669777334,24,Telugu,R.R.Dist,Kukatpally,92/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773906260.jpg
13315,Vikram Rao,Sister of Karan Gupta,09-06-2025,Market,9195284095,5,Telugu,Mumbai,Kukatpally,218/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773578091.jpg
13314,Rahul Verma,H/o. Jithender Reddy,14-06-2025,School,9998293318,84,"Hindi, Telugu, English",Mumbai,Banjara Hills,470/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773818238.jpg
13313,Prabh Reddy,H/o. Neha Anjaiah,08-05-2025,Market,9774723279,80,"Hindi, English",R.R.Dist,Kukatpally,304/2025,Alzimer,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773647395.jpg
13312,Anita Kumar,Sister of Neha Gupta,07-02-2025,From home,9833013911,19,"Hindi, Telugu, English",Delhi,Saroor nagar limits,299/2025,Mentally disable,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773578091.jpg
13311,Sunita Prajapathi,H/o. Priya Kumar,04-01-2025,Market,9967561228,12,English,Mumbai,Afzalgunj,253/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773906260.jpg
13310,Anita Reddy,W/o. Vikram Rao,12-01-2026,School,9629082391,11,"Hindi, English",Delhi,Saroor nagar limits,26/2026,Alzimer,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773647395.jpg
13309,Kamini Patel,Sister of Sneha Yadav,25-06-2025,Bus Stand,9279430287,47,"Hindi, English",Cyberabad,Jubilee Hills,313/2025,Mentally disable,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773906260.jpg
13308,Priya Rao,Brother of Kamini Singh,21-06-2025,School,9543543655,77,"Hindi, English",Cyberabad,Borabanda,144/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773818238.jpg
13307,Vikram Iyer,H/o. Vikram Sharma,07-01-2026,Railway Station,9139742113,53,Hindi,Mumbai,Afzalgunj,97/2026,Mentally disable,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773906260.jpg
13306,Manimala Rao,S/o. Priya Rao,06-01-2025,Railway Station,9684311555,73,Telugu,Medchal,Borabanda,87/2025,Mentally disable,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773906260.jpg
13305,Rahul Sharma,W/o. Sunita Patel,11-11-2025,Railway Station,9316000964,33,"Hindi, Telugu, English",Cyberabad,Saroor nagar limits,379/2025,Mentally disable,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773818238.jpg
13304,Suresh Anjaiah,H/o. Sunita Verma,08-08-2025,From home,9928239369,65,Hindi,Pune,Madhapur,311/2025,Mentally disable,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773906260.jpg
13303,Anita Verma,H/o. Suresh Singh,02-11-2025,Railway Station,9678331516,9,"Hindi, English",Pune,Madhapur,326/2025,Mentally disable,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773578091.jpg
13302,Jithender Rao,D/o. Vikram Anjaiah,07-04-2025,From home,9492796328,68,Telugu,Delhi,Borabanda,354/2025,Alzimer,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773576919.jpg
13301,Prabh Reddy,S/o. Priya Rao,02-06-2025,Market,9981280577,6,"Telugu, English",Cyberabad,Saroor nagar limits,105/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773906260.jpg
13300,Karan Kumar,W/o. Karan Patel,24-08-2025,Bus Stand,9364461240,66,Hindi,Delhi,Saroor nagar limits,492/2025,Alzimer,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773576919.jpg
13299,Manimala Patel,H/o. Vikram Prajapathi,24-05-2025,Bus Stand,9114375813,39,"Telugu, English",Hyderabad,Saroor nagar limits,140/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773576919.jpg
13298,Sneha Reddy,Sister of Neha Singh,29-08-2025,Bus Stand,9456845815,47,Telugu,Pune,Jubilee Hills,361/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773906260.jpg
13297,Sneha Rao,D/o. Sunita Sharma,19-12-2025,From home,9680213758,79,Telugu,Pune,Afzalgunj,433/2025,Alzimer,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773906260.jpg
13296,Vikram Sharma,D/o. Vikram Singh,06-02-2025,School,9800908157,45,Hindi,Delhi,Madhapur,144/2025,Depressed,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773647395.jpg
13295,Rahul Sharma,Sister of Suresh Sharma,19-04-2025,Railway Station,9904570309,44,Telugu,Cyberabad,Kukatpally,33/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773906260.jpg
13294,Sunita Yadav,H/o. Neha Sharma,01-01-2026,Market,9325593638,34,"Hindi, Telugu, English",Medchal,Madhapur,276/2026,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773906260.jpg
13293,Rohit Anjaiah,W/o. Rohit Reddy,05-03-2025,Bus Stand,9337876381,28,"Hindi, English",R.R.Dist,Saroor nagar limits,273/2025,Mentally disable,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773906260.jpg
13292,Neha Verma,S/o. Prabh Anjaiah,27-08-2025,From home,9652419961,33,Hindi,Hyderabad,Banjara Hills,256/2025,Depressed,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773818238.jpg
13291,Karan Yadav,W/o. Prabh Reddy,01-04-2025,Market,9363575531,31,Telugu,Cyberabad,Banjara Hills,113/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773576919.jpg
13290,Anita Sharma,S/o. Sunita Verma,11-11-2025,Railway Station,9559035699,40,English,Delhi,Saroor nagar limits,304/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773647395.jpg
13289,Rahul Anjaiah,D/o. Anita Singh,09-06-2025,From home,9754191701,71,"Hindi, Telugu, English",Hyderabad,Banjara Hills,472/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773576919.jpg
13288,Jithender Kumar,S/o. Prabh Rao,31-10-2025,From home,9905243602,6,Telugu,Mumbai,Afzalgunj,95/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773578091.jpg
13287,Suresh Kumar,W/o. Amit Kumar,26-06-2025,Bus Stand,9528907969,46,"Hindi, Telugu, English",R.R.Dist,Madhapur,384/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773578091.jpg
13286,Amit Yadav,H/o. Rahul Sharma,08-03-2025,Market,9393231978,18,"Hindi, Telugu, English",Medchal,Kukatpally,483/2025,Depressed,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773818238.jpg
13285,Suresh Anjaiah,H/o. Vikram Iyer,27-03-2025,Railway Station,9222877443,69,Telugu,Medchal,Madhapur,400/2025,Mentally disable,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773647395.jpg
13284,Manimala Anjaiah,H/o. Prabh Iyer,16-05-2025,Market,9940360978,36,Hindi,R.R.Dist,Afzalgunj,12/2025,Alzimer,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773647395.jpg
13283,Amit Anjaiah,W/o. Vikram Prajapathi,12-08-2025,From home,9606980155,65,English,Hyderabad,Kukatpally,352/2025,Depressed,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773906260.jpg
13282,Prabh Prajapathi,S/o. Jithender Kumar,09-11-2025,School,9736644091,85,Telugu,Cyberabad,Afzalgunj,236/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773576919.jpg
13281,Jithender Reddy,H/o. Neha Iyer,12-06-2025,Market,9872440523,65,Hindi,Hyderabad,Afzalgunj,217/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773647395.jpg
13280,Suresh Patel,Brother of Neha Kumar,12-09-2025,Market,9606786081,21,"Hindi, English",R.R.Dist,Afzalgunj,436/2025,Alzimer,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773818238.jpg
13279,Neha Patel,S/o. Prabh Gupta,16-03-2025,From home,9749568481,35,Telugu,Delhi,Banjara Hills,36/2025,Depressed,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773906260.jpg
13278,Karan Kumar,H/o. Anita Yadav,19-01-2025,Bus Stand,9616582191,27,"Hindi, English",Delhi,Borabanda,321/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773818238.jpg
13277,Manimala Reddy,Brother of Amit Yadav,05-01-2025,Bus Stand,9695575601,10,"Telugu, English",Mumbai,Madhapur,422/2025,Depressed,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773647395.jpg
13276,Sneha Kumar,Sister of Anita Prajapathi,26-11-2025,Bus Stand,9939238036,78,Hindi,Medchal,Madhapur,327/2025,Mentally disable,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773647395.jpg
13275,Karan Anjaiah,Sister of Neha Yadav,07-01-2026,From home,9726452136,38,"Hindi, English",R.R.Dist,Kukatpally,198/2026,Alzimer,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773818238.jpg
13274,Vikram Reddy,S/o. Rahul Yadav,21-01-2025,From home,9215763181,63,Telugu,R.R.Dist,Afzalgunj,328/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773647395.jpg
13273,Sneha Anjaiah,S/o. Kamini Prajapathi,27-06-2025,Railway Station,9892502475,13,"Telugu, English",Cyberabad,Borabanda,223/2025,Alzimer,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773818238.jpg
13272,Sunita Reddy,Sister of Priya Yadav,13-01-2026,From home,9522713188,77,English,Medchal,Jubilee Hills,185/2026,Mentally disable,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773906260.jpg
13271,Kamini Kumar,W/o. Anita Verma,11-01-2026,School,9536574762,59,English,Mumbai,Jubilee Hills,341/2026,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773906260.jpg
13270,Sneha Reddy,W/o. Neha Singh,08-01-2025,Market,9386117029,18,Hindi,Mumbai,Madhapur,352/2025,Mentally disable,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773647395.jpg
13269,Vikram Kumar,S/o. Neha Prajapathi,01-01-2026,From home,9953437950,5,English,Medchal,Saroor nagar limits,243/2026,Alzimer,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773578091.jpg
13268,Suresh Reddy,Brother of Amit Kumar,30-03-2025,School,9982743620,72,"Hindi, English",Hyderabad,Madhapur,292/2025,Depressed,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773576919.jpg
13267,Anita Sharma,Brother of Karan Prajapathi,25-02-2025,From home,9563414700,31,"Telugu, English",Hyderabad,Borabanda,423/2025,Alzimer,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773906260.jpg
13266,Kamini Prajapathi,H/o. Sunita Verma,29-06-2025,From home,9287582666,45,"Hindi, English",Cyberabad,Banjara Hills,76/2025,Alzimer,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773906260.jpg
13265,Jithender Iyer,Sister of Rohit Patel,01-01-2026,From home,9995793577,40,"Hindi, Telugu, English",Mumbai,Kukatpally,135/2026,Alzimer,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773576919.jpg
13264,Karan Rao,Sister of Priya Gupta,13-06-2025,Market,9662206351,85,"Telugu, English",Delhi,Madhapur,403/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773578091.jpg
13263,Rahul Singh,H/o. Jithender Anjaiah,23-05-2025,Railway Station,9553700490,14,"Hindi, Telugu, English",Medchal,Afzalgunj,321/2025,Mentally disable,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773647395.jpg
13262,Sunita Sharma,W/o. Rahul Iyer,19-10-2025,School,9855881512,40,English,Mumbai,Kukatpally,35/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773818238.jpg
13261,Anita Prajapathi,Brother of Sunita Iyer,30-08-2025,Market,9609303402,82,"Hindi, English",Hyderabad,Borabanda,268/2025,Alzimer,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773578091.jpg
13260,Rohit Anjaiah,S/o. Vikram Sharma,12-06-2025,Railway Station,9578239746,5,"Telugu, English",Medchal,Madhapur,482/2025,Alzimer,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773578091.jpg
13259,Suresh Rao,Sister of Vikram Rao,07-01-2026,Railway Station,9987857073,27,"Hindi, English",Mumbai,Borabanda,353/2026,Mentally disable,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773906260.jpg
13258,Rahul Rao,W/o. Sunita Verma,05-06-2025,From home,9786620960,69,Hindi,Hyderabad,Afzalgunj,34/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773576919.jpg
13257,Jithender Gupta,Brother of Rohit Gupta,23-01-2025,Bus Stand,9225898304,37,English,R.R.Dist,Banjara Hills,390/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773647395.jpg
13256,Amit Patel,H/o. Sunita Reddy,10-01-2025,Railway Station,9887498403,77,"Hindi, English",Hyderabad,Borabanda,65/2025,Mentally disable,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773576919.jpg
13255,Priya Yadav,Brother of Sunita Iyer,01-10-2025,Bus Stand,9970912269,14,"Hindi, Telugu, English",Mumbai,Banjara Hills,17/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773578091.jpg
13254,Rohit Rao,W/o. Anita Yadav,01-06-2025,From home,9263819010,50,English,Delhi,Kukatpally,83/2025,Alzimer,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773647395.jpg
13253,Anita Verma,D/o. Priya Sharma,04-05-2025,Railway Station,9496233674,81,English,Hyderabad,Jubilee Hills,491/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773578091.jpg
13252,Karan Iyer,S/o. Anita Gupta,26-02-2025,Railway Station,9544626996,24,Telugu,Mumbai,Borabanda,255/2025,Depressed,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773906260.jpg
13251,Amit Iyer,H/o. Sunita Yadav,10-04-2025,Railway Station,9330785310,42,English,Medchal,Saroor nagar limits,64/2025,Depressed,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773818238.jpg
13250,Sneha Rao,H/o. Prabh Iyer,01-01-2026,School,9782586680,60,Telugu,R.R.Dist,Saroor nagar limits,398/2026,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773906260.jpg
13249,Amit Anjaiah,H/o. Prabh Kumar,11-10-2025,Railway Station,9360116743,71,Hindi,Mumbai,Borabanda,67/2025,Alzimer,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773647395.jpg
13248,Kamini Reddy,Sister of Sneha Yadav,04-11-2025,Bus Stand,9752300971,18,Hindi,Cyberabad,Jubilee Hills,177/2025,Depressed,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773576919.jpg
